cache_size,cache_bytes,graph,N,device_fraction,method,method_name,median_us,p25_us,p75_us,throughput_nodes_per_s,log
256M,268435456,barabasi_albert,2000,0.0,A,pointer-sharing,45,43,52,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/256M/runs/rq1_N2000.stdout.log
256M,268435456,barabasi_albert,2000,0.0,B,copy-based,946650,946325,963022,2112.713251993873,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/256M/runs/rq1_N2000.stdout.log
256M,268435456,barabasi_albert,2000,0.25,A,pointer-sharing,51,43,52,39215686.2745098,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/256M/runs/rq1_N2000.stdout.log
256M,268435456,barabasi_albert,2000,0.25,B,copy-based,947460,946519,960809,2110.9070567622907,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/256M/runs/rq1_N2000.stdout.log
256M,268435456,barabasi_albert,2000,0.5,A,pointer-sharing,50,43,53,40000000.0,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/256M/runs/rq1_N2000.stdout.log
256M,268435456,barabasi_albert,2000,0.5,B,copy-based,948209,946568,968963,2109.2396296597058,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/256M/runs/rq1_N2000.stdout.log
256M,268435456,barabasi_albert,2000,0.75,A,pointer-sharing,45,43,49,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/256M/runs/rq1_N2000.stdout.log
256M,268435456,barabasi_albert,2000,0.75,B,copy-based,949857,948289,969437,2105.580103110258,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/256M/runs/rq1_N2000.stdout.log
256M,268435456,barabasi_albert,2000,1.0,A,pointer-sharing,45,43,51,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/256M/runs/rq1_N2000.stdout.log
256M,268435456,barabasi_albert,2000,1.0,B,copy-based,949611,948701,962263,2106.1255608875636,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/256M/runs/rq1_N2000.stdout.log
32M,33554432,erdos_renyi,2000,0.0,A,pointer-sharing,44,41,53,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/32M/runs/rq1_N2000.stdout.log
32M,33554432,erdos_renyi,2000,0.0,B,copy-based,988592,959713,994609,2023.0792885234757,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/32M/runs/rq1_N2000.stdout.log
32M,33554432,erdos_renyi,2000,0.25,A,pointer-sharing,44,42,57,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/32M/runs/rq1_N2000.stdout.log
32M,33554432,erdos_renyi,2000,0.25,B,copy-based,959994,959122,979416,2083.346354248047,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/32M/runs/rq1_N2000.stdout.log
32M,33554432,erdos_renyi,2000,0.5,A,pointer-sharing,45,43,59,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/32M/runs/rq1_N2000.stdout.log
32M,33554432,erdos_renyi,2000,0.5,B,copy-based,976944,957758,979174,2047.2002489395502,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/32M/runs/rq1_N2000.stdout.log
32M,33554432,erdos_renyi,2000,0.75,A,pointer-sharing,44,42,49,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/32M/runs/rq1_N2000.stdout.log
32M,33554432,erdos_renyi,2000,0.75,B,copy-based,965934,963730,992334,2070.534839854483,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/32M/runs/rq1_N2000.stdout.log
32M,33554432,erdos_renyi,2000,1.0,A,pointer-sharing,46,44,52,43478260.86956522,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/32M/runs/rq1_N2000.stdout.log
32M,33554432,erdos_renyi,2000,1.0,B,copy-based,971095,959017,978110,2059.53073592182,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/32M/runs/rq1_N2000.stdout.log
32M,33554432,barabasi_albert,2000,0.0,A,pointer-sharing,48,46,51,41666666.666666664,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/32M/runs/rq1_N2000.stdout.log
32M,33554432,barabasi_albert,2000,0.0,B,copy-based,964959,952403,973663,2072.6269199002236,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/32M/runs/rq1_N2000.stdout.log
32M,33554432,barabasi_albert,2000,0.25,A,pointer-sharing,45,43,52,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/32M/runs/rq1_N2000.stdout.log
32M,33554432,barabasi_albert,2000,0.25,B,copy-based,971654,954140,1046434,2058.345872090271,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/32M/runs/rq1_N2000.stdout.log
32M,33554432,barabasi_albert,2000,0.5,A,pointer-sharing,45,43,54,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/32M/runs/rq1_N2000.stdout.log
32M,33554432,barabasi_albert,2000,0.5,B,copy-based,968336,961839,985362,2065.398787197832,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/32M/runs/rq1_N2000.stdout.log
32M,33554432,barabasi_albert,2000,0.75,A,pointer-sharing,46,43,49,43478260.86956522,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/32M/runs/rq1_N2000.stdout.log
32M,33554432,barabasi_albert,2000,0.75,B,copy-based,958521,953786,1016207,2086.54792122447,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/32M/runs/rq1_N2000.stdout.log
32M,33554432,barabasi_albert,2000,1.0,A,pointer-sharing,46,44,51,43478260.86956522,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/32M/runs/rq1_N2000.stdout.log
32M,33554432,barabasi_albert,2000,1.0,B,copy-based,954464,953533,954916,2095.416904147249,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/32M/runs/rq1_N2000.stdout.log
512M,536870912,erdos_renyi,2000,0.0,A,pointer-sharing,50,47,60,40000000.0,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/512M/runs/rq1_N2000.stdout.log
