cache_size,cache_bytes,graph,N,device_fraction,method,method_name,median_us,p25_us,p75_us,throughput_nodes_per_s,log
2M,2097152,barabasi_albert,100000,1.0,A,pointer-sharing,4782,4468,4975,20911752.404851526,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/2M/runs/rq1_N100000.stdout.log
2M,2097152,erdos_renyi,50000,0.0,A,pointer-sharing,2572,2384,3072,19440124.416796267,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/2M/runs/rq1_N50000.stdout.log
2M,2097152,erdos_renyi,50000,0.5,A,pointer-sharing,2446,2408,2734,20441537.20359771,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/2M/runs/rq1_N50000.stdout.log
2M,2097152,erdos_renyi,50000,1.0,A,pointer-sharing,2483,2456,2697,20136931.13169553,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/2M/runs/rq1_N50000.stdout.log
2M,2097152,barabasi_albert,50000,0.0,A,pointer-sharing,2078,1971,2199,24061597.69008662,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/2M/runs/rq1_N50000.stdout.log
2M,2097152,barabasi_albert,50000,0.5,A,pointer-sharing,2822,2453,3033,17717930.545712262,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/2M/runs/rq1_N50000.stdout.log
2M,2097152,barabasi_albert,50000,1.0,A,pointer-sharing,2515,2101,2515,19880715.705765408,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/2M/runs/rq1_N50000.stdout.log
32M,33554432,erdos_renyi,100000,0.0,A,pointer-sharing,7453,6837,8609,13417415.80571582,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/32M/runs/rq1_N100000.stdout.log
32M,33554432,erdos_renyi,100000,0.5,A,pointer-sharing,8205,7669,8371,12187690.43266301,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/32M/runs/rq1_N100000.stdout.log
32M,33554432,erdos_renyi,100000,1.0,A,pointer-sharing,8117,7073,8442,12319822.594554638,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/32M/runs/rq1_N100000.stdout.log
32M,33554432,barabasi_albert,100000,0.0,A,pointer-sharing,5782,5482,6050,17295053.614666205,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/32M/runs/rq1_N100000.stdout.log
32M,33554432,barabasi_albert,100000,0.5,A,pointer-sharing,6900,6859,7018,14492753.623188406,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/32M/runs/rq1_N100000.stdout.log
