graph,N,device_fraction,method,method_name,median_us,p25_us,p75_us,throughput_nodes_per_s,log
erdos_renyi,50000,0.25,B,copy-based,25157160,25005319,25464734,1987.5057438915999,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N50000.stdout.log
erdos_renyi,50000,0.5,A,pointer-sharing,4539,4162,5101,11015642.211940955,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N50000.stdout.log
erdos_renyi,50000,0.5,B,copy-based,25005278,24856951,25883186,1999.5778491244928,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N50000.stdout.log
erdos_renyi,50000,0.75,A,pointer-sharing,5576,4565,7451,8967001.43472023,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N50000.stdout.log
erdos_renyi,50000,0.75,B,copy-based,25218167,24840235,25503458,1982.697632226799,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N50000.stdout.log
erdos_renyi,50000,1.0,A,pointer-sharing,4588,4324,5043,10897994.768962512,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N50000.stdout.log
erdos_renyi,50000,1.0,B,copy-based,25147364,24860477,25495561,1988.2799644527354,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N50000.stdout.log
barabasi_albert,50000,0.0,A,pointer-sharing,2652,2649,3052,18853695.32428356,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N50000.stdout.log
barabasi_albert,50000,0.0,B,copy-based,25072055,24845503,25080188,1994.2521664059848,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N50000.stdout.log
barabasi_albert,50000,0.25,A,pointer-sharing,2904,2408,3257,17217630.85399449,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N50000.stdout.log
barabasi_albert,50000,0.25,B,copy-based,25365941,24658841,25393455,1971.1470589638286,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N50000.stdout.log
barabasi_albert,50000,0.5,A,pointer-sharing,2275,2237,3156,21978021.97802198,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N50000.stdout.log
barabasi_albert,50000,0.5,B,copy-based,24557753,24539940,24594623,2036.0168945424282,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N50000.stdout.log
barabasi_albert,50000,0.75,A,pointer-sharing,2620,2253,2716,19083969.465648856,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N50000.stdout.log
barabasi_albert,50000,0.75,B,copy-based,25104893,24829702,25525648,1991.643621026387,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N50000.stdout.log
barabasi_albert,50000,1.0,A,pointer-sharing,2965,2674,3504,16863406.408094436,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N50000.stdout.log
barabasi_albert,50000,1.0,B,copy-based,24477033,24297313,24480422,2042.7312411598252,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N50000.stdout.log
